city,year,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,total_pop,lon,lat
Wichita,1992,888.5160749141,9.35619686728719,82.2700069364908,432.320820764305,364.569050346018,309955,-97.33754,37.69224
Albuquerque,1993,1644.05356432581,12.2763856356467,63.5916775926499,381.059010130473,1187.12649096704,407286,-106.65114,35.08449
Arlington,1993,802.954474365172,2.48812807461541,51.8952426991213,252.367276139563,496.203827451872,281336,-97.10807,32.73569
Atlanta,1993,4041.18378562191,50.3875872784994,122.121640103555,1500.45795615039,2368.21660208947,402877,-84.38798,33.749
Aurora,1993,1807.30708405985,7.7044726491221,67.3127610396983,300.068934755282,1432.22091561575,246610,-104.83192,39.72943
Austin,1993,599.779290782402,7.3702536562434,53.9821281308638,309.749849606986,228.677059388309,502018,-97.74306,30.26715
Baltimore,1993,2993.99155215507,48.1603562502046,91.1363115442966,1688.47753244344,1166.21735191714,732968,-76.61632,39.44307
Baltimore,1993,1046.45936911884,5.05603775174855,39.4651835622595,324.007752591219,677.930395213618,712020,-76.61632,39.44307
Boston,1993,1957.67959990612,17.6936826331089,86.6629353458393,736.815498221604,1116.50748370556,553870,-71.05977,42.35843
Buffalo,1993,1859.59889796986,23.3950531775715,90.8097458866263,892.090317218451,853.303781687214,324855,-78.87837,42.88645
Charlotte,1993,2299.80466440588,28.8510199545005,84.188222162313,763.133126173551,1423.63229611552,422862,-80.84313,35.22709
Chicago,1993,2839.12203531307,30.9071795011538,121.154709436657,1261.70851446183,1425.35163191342,2788996,-87.65005,41.85003
Cincinnati,1993,1533.31642075228,10.6385590480945,122.479820835754,634.767356536303,765.43068433213,366591,-84.45689,39.162
Cleveland,1993,1643.16928005062,33.0215727759872,164.910129911217,849.662863583335,595.57471378008,505730,-1.189,54.525
Columbus,1993,1104.59661201392,16.2304288079291,101.710687196356,600.83501691829,385.820479091343,646933,-82.99879,39.96118
Dallas,1993,1743.30220339357,30.4042032612105,95.9123131268469,711.669363401204,905.316323604308,1042619,-96.80667,32.78306
Denver,1993,1053.76784202311,14.8474524580559,78.8520110272431,373.79464769403,586.273730843777,498402,-104.9847,39.73915
Detroit,1993,2780.02709639218,56.7612556883797,116.561542337623,1332.36999319649,1274.33430516969,1020062,-83.04575,42.33143
El Paso,1993,1101.68345310767,8.47587531446399,50.6749141141358,281.507263103793,761.025400575278,554515,-106.48693,31.75872
Fairfax,1993,109.987327547044,2.03237453076059,11.9551442985917,54.9936637735218,41.0061449441695,836460,-77.27622,38.83469
Fort Worth,1993,1506.13005073666,28.7025787000969,109.415093240219,593.474371618545,774.538007177803,463373,-97.32085,32.72541
Fresno,1993,1450.35094229388,22.8961226600557,56.8455459146211,757.67743837127,612.931835347929,379977,-119.77237,36.74773
Honolulu,1993,285.680017819305,3.54101581463353,32.6687265479094,123.935553512174,125.534721944589,875455,-157.96138,21.45543
Houston,1993,1453.8425716236,25.8651636261568,64.3149472228875,624.707494576145,738.954966198407,1724327,-95.36327,29.76328
Indianapolis,1993,1665.77094855225,18.0026103785049,136.872787730692,542.725754057868,968.169796385182,377723,-86.15804,39.76838
Jacksonville,1993,1698.17494905624,18.5926135264982,103.969894840178,536.062233195996,1039.55020749357,672310,-81.65565,30.33218
Kansas City,1993,2517.29332978127,35.1378413882433,118.274433431015,893.603534912775,1470.27752004924,435428,-94.57857,39.09973
Las Vegas,1993,1014.85697081711,12.6839698316656,60.6321634810389,497.880661963841,443.660175540567,717441,-115.13722,36.17497
Long Beach,1993,1605.38195501953,28.4258187651012,45.1203472461924,838.561653570486,693.274135437746,443259,-118.18923,33.76696
Los Angeles,1993,2374.28293682526,30.5220778727133,50.2933495058742,1089.68923929394,1203.77827015273,3525317,-118.24368,34.05223
Los Angeles,1993,1695.00294044051,24.178128401699,33.8916123010715,485.990939008823,1150.94226072891,947137,-118.24368,34.05223
Louisville,1993,NA,NA,NA,NA,NA,NA,-85.75941,38.25424
Memphis,1993,1633.81428509114,31.9880577917577,117.127989389012,866.908677326122,617.789560584251,618981,-90.04898,35.14953
Mesa,1993,766.340110602406,1.96918229705115,36.4298724954463,134.560790298495,593.380265511413,304695,-111.82264,33.42227
Miami,1993,3892.95579554331,34.092220799476,54.76230742593,1901.11108426684,1902.99018305107,372519,-80.19366,25.77427
Miami,1993,1881.44392959969,16.584183763631,58.2712030601897,713.935517431065,1092.6530253448,1103461,-80.19366,25.77427
Milwaukee,1993,965.15244401506,25.1960315447896,68.0453335986673,645.467763523208,226.443315348395,623114,-87.90647,43.0389
Minneapolis,1993,1767.66437014854,15.8192460220051,141.28223171377,866.785583757453,743.77730865531,366642,-93.26384,44.97997
Rockville,1993,272.006064059362,3.73847197048412,26.4271294465257,108.544599970608,133.295862671744,775718,-77.15276,39.084
Nashville,1993,1784.10117434508,16.9376693766938,112.333738279912,527.403980936361,1127.42578575211,513648,-86.78444,36.16589
Mineola,1993,205.877776481114,1.75049597385926,6.90473411911153,109.794997471506,87.4275489166375,1028280,-73.64068,40.74927
National,1993,747.1,9.5,NA,NA,NA,NA,-78.9403,39.60898
New Orleans,1993,2038.97733814193,80.3467726023608,60.6160461658317,1053.45806406994,844.556455303802,491619,-90.07507,29.95465
New York City,1993,2089.80031595465,26.4860750073123,38.3544498307327,1170.51846695985,854.441324156757,7347257,-73.992602,40.742185
Newark,1993,3787.44090228684,35.5697834689431,95.2232744949832,2183.09546040638,1473.55238391653,269892,-74.17237,40.73566
Oakland,1993,2601.60143434199,40.8447977254222,93.6247636173638,1209.16514824805,1257.96672475115,377037,-83.3858,42.66041
Oklahoma City,1993,1416.55444990469,17.4883265420332,112.581102114339,376.873436980815,909.611584267501,457448,-97.51643,35.46756
Omaha,1993,1141.73101531776,9.37045203646277,61.2007648631475,220.205622856875,850.954175561275,341499,-95.93779,41.25861
Orlando,1993,2342.31787629846,8.48665897209587,118.247448344536,626.31543214067494,1589.26833684115,176748,-81.37924,28.53834
Philadelphia,1993,1255.24675960896,28.1494343823219,50.3355489524435,739.387534994428,437.374241279767,1559534,-75.16379,39.95234
Phoenix,1993,1145.98376514982,15.2015309288616,42.7182261545226,330.681403813275,757.382604253157,1039369,-112.07404,33.44838
Pittsburgh,1993,1215.55717786649,21.7112244316409,61.3342090193854,755.550610221102,376.961134194364,368473,-79.99589,40.44062
Portland,1993,1856.49685967346,12.7503632754364,105.300413947139,506.71702327381,1231.72905917707,454889,-122.67621,45.52345
Upper Marlboro,1993,1250.39346663482,21.0376130376257,64.2200819043311,612.937973840598,552.197797852265,632201,-76.74969,38.81595
Raleigh,1993,906.019450407709,12.0505050054227,41.9536100188791,354.820425159669,497.194910223738,224057,-78.63861,35.7721
Sacramento,1993,1254.09844543508,21.9790449199963,43.1823588428162,597.312867825781,591.624173846488,386732,-121.4944,38.58157
Salt Lake City,1993,822.866533630708,11.1515436084047,119.732362953398,292.287827209766,399.694799859138,170380,-111.89105,40.76078
San Antonio,1993,682.425191992337,22.3246902956601,56.116153334091,302.296601776234,301.687746586352,985456,-98.49363,29.42412
San Diego,1993,1160.00044804296,11.4595602458377,34.1201944161785,400.739960175874,713.680733205067,1160603,-117.15726,32.71533
San Francisco,1993,1814.96706170888,17.5182005956188,49.0238016668092,1148.05323903381,600.371820412642,736377,-122.41942,37.77493
